"","X","SOCIALNETW","CHECK","SOCIALNE_1","SOCIALNE_2","PERSON_WIT","SOCIALNE_3","NUMBER_OF_","RELATIONSH","GENDER","RELATION_1","LONG_LIST","SOCIALNE_4","SOCIALNE_5","SOCIALNE_6","SOCIALNE_7","UNIQUE","OBJECTID","FIELD1","ADDRESS","PRECISION","LAT","LON","ADDRESS_1","What.gender.do.you.identify.with.","gender_guess","relationship_gender","place_type"
"1",1,1025,"Correct",10071,NA,"Jere (Aunt)","Aunt",NA,"Family","F",NA,"Jere: Savannah State university, Church, her house off La Roche Ave.",NA,NA,"Place1","Savannah State University","Savannah State University",107,107,"3219 College St, Savannah, GA 31404, United States","Rooftop",32.022271,-81.055496,"3219 College St, Savannah, GA 31404, United States","Female","F","F-F","university, library, fountain, siren, information, water_tower, bus_stop"
"2",2,1319,"Correct",10095,NA,"Bob (Boss)","Boss",NA,"Other","Undefined from relationship",NA,"Bob: Daffin Park, forsyth park, tom tripplett park, skidaway park.",NA,NA,"Place1","Daffin Park","Daffin Park",36,36,"E Victory Dr, Savannah, GA 31404, United States","Site",32.04377,-81.069983,"E Victory Dr, Savannah, GA 31404, United States","Male","M","M-M","primary, primary, primary, primary"
"3",3,1320,"Correct",10095,NA,"Bob (Boss)","Boss",NA,"Other","Undefined from relationship",NA,"Bob: Daffin Park, forsyth park, tom tripplett park, skidaway park.",NA,NA,"Place2","Forsyth Park","Forsyth Park",3,3,"Savannah, GA 31401, United States","Site",32.074679,-81.088261,"Savannah, GA 31401, United States","Male","M","M-M","administrative"
"4",4,1321,"Correct",10095,NA,"Bob (Boss)","Boss",NA,"Other","Undefined from relationship",NA,"Bob: Daffin Park, forsyth park, tom tripplett park, skidaway park.",NA,NA,"Place3","Tom Tripplett Park","Tom Tripplett Park",311,311,"100 Tom Triplett Road, Pooler, GA 31322, United States","Rooftop",32.093094,-81.217304,"100 Tom Triplett Road, Pooler, GA 31322, United States","Male","M","M-M",""
"5",5,1322,"Correct",10095,NA,"Bob (Boss)","Boss",NA,"Other","Undefined from relationship",NA,"Bob: Daffin Park, forsyth park, tom tripplett park, skidaway park.",NA,NA,"Place4","Skidaway Park","Skidaway Island",356,356,"52 Diamond Causeway, Savannah, GA 31411, United States","Rooftop",31.937158,-81.052083,"52 Diamond Causeway, Savannah, GA 31411, United States","Male","M","M-M",""
"6",6,459,"Correct",10049,NA,"Matt (Former boss)","Boss",NA,"Professional","Undefined from relationship","Former","Matt: After work plays frisbee at Robert's dairy, goes to pool at his house.","Activity: Frisbee (Old Roberds Dairy Farm)",NA,"Place1","Old Roberds Dairy Farm","Old Roberds Dairy Farm",39,39,"2500 Tennessee Ave, Savannah, GA 31404, United States","Rooftop",32.049417,-81.053271,"2500 Tennessee Ave, Savannah, GA 31404, United States","Female","M","F-M","house"
"7",7,460,"Correct",10049,NA,"Matt (Former boss)","Boss",NA,"Professional","Undefined from relationship","Former","Matt: After work plays frisbee at Robert's dairy, goes to pool at his house.","Activity: Frisbee (Old Roberds Dairy Farm)",NA,"Place2","Pool","Pool",179,179,"7240 Sallie Mood Dr, Savannah, GA 31406, United States","Rooftop",31.998287,-81.088744,"7240 Sallie Mood Dr, Savannah, GA 31406, United States","Female","M","F-M","sports_hall"
"8",8,87,"Correct",10048,NA,"Quentin (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"River street, Madams spot, Central areas around downtown savannah. Dinner at Grandmas house.",NA,NA,"Place1","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","M","F-M","residential, attraction"
"9",9,88,"Correct",10048,NA,"Quentin (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"River street, Madams spot, Central areas around downtown savannah. Dinner at Grandmas house.",NA,NA,"Place2","Madams Spot","Madam's Spot",151,151,"110 W Congress St, Savannah, GA 31401, United States","Rooftop",32.080148,-81.093138,"110 W Congress St, Savannah, GA 31401, United States","Female","M","F-M","house"
"10",10,89,"Correct",10048,NA,"Quentin (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"River street, Madams spot, Central areas around downtown savannah. Dinner at Grandmas house.",NA,NA,"Place3","Downtown Savannah","Downtown",250,250,"Savannah, GA, USA","Site",32.074679,-81.088261,"Savannah, GA, USA","Female","M","F-M","administrative"
